,Name,Team,Balls in Play,Average on Balls in Play,Ex Average on Balls in Play,Difference
0,Albert Pujols,Angels,428.0,0.29205607476635514,0.31906752120572257,-0.027011446439367426
1,Miguel Cabrera,Tigers,389.0,0.3676092544987147,0.3639712819317798,0.0036379725669348772
2,Shin-Soo Choo,Rangers,398.0,0.4020100502512563,0.37300818528222296,0.029001864969033342
3,Yadier Molina,Cardinals,366.0,0.319672131147541,0.33881804246184055,-0.019145911314299546
4,Robinson Cano,Mets,323.0,0.3157894736842105,0.3661300175588767,-0.05034054387466619
5,Edwin Encarnacion,- - -,316.0,0.33860759493670883,0.3413680035260049,-0.0027604085892960484
6,Adam Jones,Diamondbacks,385.0,0.34805194805194806,0.33460243716846066,0.013449510883487392
7,Curtis Granderson,Marlins,219.0,0.2922374429223744,0.32543840852406425,-0.033200965601689836
8,Howie Kendrick,Nationals,290.0,0.41724137931034483,0.40571378969401883,0.011527589616325995
9,Ian Kinsler,Padres,203.0,0.29064039408866993,0.29277860837174285,-0.0021382142830729256
10,Brian McCann,Braves,230.0,0.30434782608695654,0.3243144531625243,-0.019966627075567733
11,Neil Walker,Marlins,261.0,0.3448275862068966,0.347012646643851,-0.0021850604369544335
12,Kurt Suzuki,Nationals,247.0,0.3076923076923077,0.3528589572897564,-0.045166649597448705
13,Ian Desmond,Rockies,326.0,0.3558282208588957,0.37339040702722176,-0.017562186168326055
14,Nelson Cruz,Twins,324.0,0.44135802469135804,0.4331826601461206,0.008175364545237429
15,David Peralta,Diamondbacks,295.0,0.3728813559322034,0.3436246641735602,0.029256691758643205
16,Martin Prado,Marlins,207.0,0.2898550724637681,0.31904658072127506,-0.029191508257506937
17,Evan Longoria,Giants,343.0,0.35276967930029157,0.37312386076924947,-0.0203541814689579
18,Chris Davis,Orioles,171.0,0.3391812865497076,0.3810807193385793,-0.041899432788871704
19,Dexter Fowler,Cardinals,349.0,0.3467048710601719,0.3386361564670051,0.00806871459316677
20,Tyler Flowers,Braves,168.0,0.375,0.36276225243639243,0.01223774756360757
21,Hunter Pence,Rangers,217.0,0.4009216589861751,0.37705971432906105,0.023861944657114054
22,Asdrubal Cabrera,- - -,349.0,0.34097421203438394,0.32592475659162423,0.015049455442759707
23,Charlie Blackmon,Rockies,478.0,0.3912133891213389,0.3492568108127974,0.04195657830854149
24,Todd Frazier,Mets,340.0,0.3382352941176471,0.3413415806232175,-0.0031062865055704325
