"Name","Team","SO","AB","SF","SH","AVG","playerid"
"Christian Yelich","Brewers","118","489","3","0",".329","11477"
"Mike Trout","Angels","120","470","4","0",".291","10155"
"Yordan Alvarez","Astros","94","313","2","0",".313","19556"
"Alex Bregman","Astros","83","554","8","0",".296","17678"
"Nelson Cruz","Twins","131","454","3","0",".311","2434"
"Cody Bellinger","Dodgers","108","558","4","0",".305","15998"
"Anthony Rendon","Nationals","86","545","9","0",".319","12861"
"Ketel Marte","Diamondbacks","86","569","2","0",".329","13613"
"Mitch Garver","Twins","87","311","2","0",".273","15161"
"Joey Gallo","Rangers","114","241","1","1",".253","14128"
"George Springer","Astros","113","479","4","0",".292","12856"
"Howie Kendrick","Nationals","49","334","5","0",".344","4229"
"Fernando Tatis Jr.","Padres","110","334","3","0",".317","19709"
"Juan Soto","Nationals","132","542","6","0",".282","20123"
"Nolan Arenado","Rockies","93","588","8","0",".315","9777"
"Anthony Rizzo","Cubs","86","512","3","0",".293","3473"
"Xander Bogaerts","Red Sox","122","614","6","0",".309","12161"
"Keston Hiura","Brewers","107","314","1","0",".303","20003"
"Charlie Blackmon","Rockies","104","580","5","0",".314","7859"
"Freddie Freeman","Braves","127","597","2","0",".295","5361"
"J.D. Martinez","Red Sox","138","575","5","0",".304","6184"
"Mark Canha","Athletics","107","410","2","0",".273","11445"
"Jeff McNeil","Mets","75","510","1","0",".318","15362"
"Peter Alonso","Mets","183","597","3","0",".260","19251"
"Jordan Luplow","Indians","61","225","1","0",".276","16424"
"Aaron Judge","Yankees","141","378","1","0",".272","15640"
"Eugenio Suarez","Reds","189","575","6","0",".271","12552"
"Carlos Correa","Astros","75","280","4","0",".279","14162"
"Mookie Betts","Red Sox","101","597","9","0",".295","13611"
"Trevor Story","Rockies","174","588","3","0",".294","12564"
"Carlos Santana","Indians","108","573","2","0",".281","2396"
"Austin Meadows","Rays","131","530","0","0",".291","15672"
"Kris Bryant","Cubs","145","543","2","0",".282","15429"
"Yoan Moncada","White Sox","154","511","3","1",".315","17232"
"Miguel Sano","Twins","159","380","1","0",".247","12164"
"Josh Bell","Pirates","118","527","7","0",".277","13145"
"Jorge Soler","Royals","178","589","4","0",".265","14221"
"Josh Donaldson","Braves","155","549","2","0",".259","5038"
"Hunter Pence","Rangers","69","286","2","0",".297","8252"
"Rafael Devers","Red Sox","119","647","2","1",".311","17350"
"DJ LeMahieu","Yankees","90","602","4","1",".327","9874"
"Jose Altuve","Astros","82","500","3","1",".298","5417"
"J.D. Davis","Mets","97","410","2","0",".307","16219"
"Trey Mancini","Orioles","143","602","5","0",".291","15149"
"Marcus Semien","Athletics","102","657","1","0",".285","12533"
"Max Muncy","Dodgers","149","487","4","0",".251","13301"
"Bryan Reynolds","Pirates","121","491","3","0",".314","19326"
"Justin Turner","Dodgers","88","479","5","0",".290","5235"
"Giovanny Urshela","Yankees","87","442","4","0",".314","10681"
"Ronald Acuna Jr.","Braves","188","626","1","0",".280","18401"
"Willson Contreras","Cubs","102","360","2","0",".272","11609"
"Matt Olson","Athletics","138","483","1","0",".267","14344"
"Michael Brantley","Astros","66","575","4","0",".311","4106"
"Corey Dickerson","- - -","56","260","3","0",".304","10762"
"Bryce Harper","Phillies","178","573","4","0",".260","11579"
"Yuli Gurriel","Astros","65","564","6","0",".298","19198"
"David Dahl","Rockies","110","374","5","2",".302","13744"
"Mike Tauchman","Yankees","71","260","1","0",".277","15274"
"Tim Anderson","White Sox","109","498","2","0",".335","15172"
"Cameron Maybin","Yankees","72","239","0","0",".285","5223"
"Edwin Encarnacion","- - -","103","418","3","0",".244","2151"
"Joc Pederson","Dodgers","111","450","2","0",".249","11899"
"Yasmani Grandal","Brewers","139","513","5","0",".246","11368"
"Luis Arraez","Twins","29","326","3","0",".334","18568"
"Hunter Dozier","Royals","148","523","5","0",".279","15117"
"Luke Voit","Yankees","142","429","1","0",".263","14811"
"Gleyber Torres","Yankees","129","546","6","1",".278","16997"
"Wilmer Flores","Diamondbacks","31","265","1","0",".317","5827"
